,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,car,because
10,10,mettre,to put
11,12,laisse,leash
12,13,eux,them
13,14,chaque,each
14,15,arrivé,come
15,16,longtemps,long time
16,17,heures,hours
17,18,vont,will
18,19,pendant,while
19,20,revoir,meet again
20,21,aucune,any
21,22,place,square
22,23,parle,speak
23,24,compris,understood
24,26,étaient,were
25,27,attention,Warning
26,28,pourrais,could
27,29,donner,give
28,30,type,type
29,31,leurs,their
30,32,train,train
31,33,corps,body
32,34,endroit,place
33,36,façon,way
34,37,dont,whose
35,38,trouve,find
36,39,premier,first
37,40,main,hand
38,41,première,first
39,42,pouvoir,power
40,43,vieux,old
41,44,sois,be
42,45,tiens,here
43,46,matin,morning
44,47,tellement,so much
45,48,enfant,child
46,49,point,point
47,50,venu,came
48,51,suite,after
49,52,pardon,sorry
50,53,venez,come
51,54,devant,in front of
52,55,vers,towards
53,56,demandé,request
54,57,chambre,bedroom
55,58,mis,placed
56,59,belle,beautiful
57,60,aimerais,would like to
58,61,aujourd'hui,today
59,62,mari,husband
60,63,cause,cause
61,64,enfin,finally
62,65,espère,hope
63,66,eau,water
64,67,attendez,Wait
65,68,parti,left
66,69,nouvelle,new
67,70,boulot,job
68,71,arrêter,Stop
69,72,dirait,would say
70,73,terre,Earth
71,74,compte,account
72,75,donne,given
73,76,fin,end
74,77,croire,believe
75,78,chérie,sweetheart
76,79,gros,large
77,80,plutôt,rather
78,81,aura,will have
79,82,filles,girls
80,83,jouer,to play
